#1232 - Suakin

culture = nubian #beja
religion = egyptian
capital = "Suakin"
base_manpower = 2
trade_goods = unknown
hre = no
base_tax = 2
base_production = 2
discovered_by = muslim
discovered_by = ottoman
discovered_by = western
discovered_by = barbarian
discovered_by = celtiberians
discovered_by = eastern
discovered_by = mediterranean
discovered_by = nomad_group
discovered_by = indian
discovered_by = ETH
discovered_by = ADA
discovered_by = NUB
discovered_by = ZAN
discovered_by = ZIM
discovered_by = AJU
discovered_by = MBA
discovered_by = MDI
discovered_by = MLI
discovered_by = SFA

4400.1.1 = { owner = BLE controller = BLE add_core = BLE citysize = 1000 }
